frb01,"P. Baxevanis, Z. Huang, A. Marinelli [SLAC, Menlo Park, California, USA] ","Time-Domain Analysis of Attosecond Pulse Generation in an X-Ray Free-Electron Laser",561 563,
tup034,"I. Petrushina [SUNY SB, Stony Brook, New York, USA] T. Hayes, Y.C. Jing, D. Kayran, V. Litvinenko, G. Narayan, I. Pinayev, F. Severino, K.S. Smith, G. Wang [BNL, Upton, Long Island, New York, USA] K. Mihara [Stony Brook University, Stony Brook, USA] K. Shih [SBU, Stony Brook, New York, USA] ","Novel Aspects of Beam Dynamics in CeC SRF Gun and SRF Accelerator",309 312,
tup035,"D. A. Bizzozero, H. De Gersem, E. Gjonaj [TEMF, TU Darmstadt, Darmstadt, Germany] ","CSR Wake Fields and Emittance Growth with a Discontinuous Galerkin Time Domain Method",313 315,
tup038,"C. Zhang, W.S. Graves, L.E. Malin, J. Spence [Arizona State University, Tempe, USA] D.B. Cesar, J.M. Maxson, P. Musumeci, A. Urbanowicz [UCLA, Los Angeles, USA] R.K. Li, E.A. Nanni, X. Shen, S.P. Weathersby, J. Yang [SLAC, Menlo Park, California, USA] ","Experiments in Electron Beam Nanopatterning",316 318,
tup039,"G. Wang, Y.C. Jing, V. Litvinenko [BNL, Upton, Long Island, New York, USA] J. Ma [SBU, Stony Brook, New York, USA] ","Electron Beam Requirements for Coherent Electron Cooling FEL System",319 321,
tup042,"J. Boedewadt (J. Bödewadt), R.W. Assmann (R.W. Aßmann), C. Lechner, M.M. Mohammad Kazemi [DESY, Hamburg, Germany] L.L. Lazzarino, T. Plath, J. Rossbach (J. Roßbach) [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] ","Determination of the Slice Energy Spread of Ultra-Relativistic Electron Beams by Scanning Seeded Coherent Undulator Radiation",322 324,
tup045,"S. Serkez, G. Geloni [XFEL.EU, Schenefeld, Germany] E. Saldin [DESY, Hamburg, Germany] ","Interference-Based Ultrafast Polarization Control at Free Electron Lasers",325 328,
tup050,"J. Upadhyay, E.I. Simakov [LANL, Los Alamos, New Mexico, USA] ","Beam Driven Acceleration and RF Breakdown in Photonic Band Gap Travelling Wave Accelerator Structure",329 331,
tup053,"E. Ferrari, M. Bednarzik, S. Bettoni, S. Borrelli, H.-H. Braun, M. Calvi, Ch. David, M.M. Dehler, F. Frei, T. Garvey, V. Guzenko, N. Hiller, R. Ischebeck, C. Ozkan Loch, E. Prat, J. Raabe, S. Reiche, L. Rivkin, A. Romann, B. Sarafinov, V. Schlott, S. Susmita [PSI, Villigen PSI, Switzerland] E. Ferrari, L. Rivkin [EPFL, Lausanne, Switzerland] P. Hommelhoff [University of Erlangen-Nuremberg, Erlangen, Germany] J.C. McNeur [Friedrich-Alexander Universitaet Erlangen-Nuernberg, University Erlangen-Nuernberg LFTE, Erlangen, Germany] ","The ACHIP Experimental Chambers at PSI",332 335,
tup054,"G. Ha [PAL, Pohang, Republic of Korea] M.E. Conde, D.S. Doran, W. Gai, J.G. Power [ANL, Argonne, Illinois, USA] ","Preparations for Installation of the Double Emittance-Exchange Beamline at the Argonne Wakefield Accelerator Facility",336 339,
tup057,"G. Zhou [IHEP, Beijing, People's Republic of China] W. Liu [USTC/NSRL, Hefei, Anhui, People's Republic of China] W. Qin, T.O. Raubenheimer, J. Wu, C. Yang [SLAC, Menlo Park, California, USA] C.-Y. Tsai [Virginia Polytechnic Institute and State University, Blacksburg, Virginia, USA] B. Yang [University of Texas at Arlington, Arlington, USA] M. Yoon [POSTECH, Pohang, Kyungbuk, Republic of Korea] ","Measurement of Short-Wavelength High-Gain FEL Temporal Coherence Length by a Phase Shifter",344 347,
tup058,"J. Wu, A. Brachmann, K. Fang, A. Marinelli, C. Pellegrini, T.O. Raubenheimer, C.-Y. Tsai, C. Yang, M. Yoon, G. Zhou [SLAC, Menlo Park, California, USA] H.-S. Kang, G. Kim, I.H. Nam [PAL, Pohang, Kyungbuk, Republic of Korea] B. Yang [University of Texas at Arlington, Arlington, USA] ","Slippage-Enhanced SASE FEL",340 343,
tup059,"D.J. Dunning, H.M. Castaneda Cortes, S.P. Jamison, T.A. Mansfield, N. Thompson, D.A. Walsh [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] D. Bultrini, S.P. Jamison, N. Thompson [Cockcroft Institute, Warrington, Cheshire, United Kingdom] D. Bultrini [University of Glasgow, Glasgow, Scotland, United Kingdom] ","Alternative Electron Beam Slicing Methods for CLARA and X-ray FELs",344 347,
tup061,"T. Andre (T. André), I.A. Andriyash, F. Blache, F. Bouvet, F. Briquez, M.-E. Couprie, Y. Dietrich, J.P. Duval, M. El Ajjouri, A. Ghaith, C. Herbeaux, N. Hubert, M. Khojoyan, C.A. Kitegi, M. Labat, N. Leclercq, A. Lestrade, A. Loulergue, O. Marcouillé, F. Marteau, P. N'gotta, P. Rommeluere (P. Rommeluère), E. Roussel, M. Sebdaoui, K.T. Tavakoli, M. Valléau [SOLEIL, Gif-sur-Yvette, France] S. Bielawski, C. Evain, C. Szwaj [PhLAM/CERCLA, Villeneuve d'Ascq Cedex, France] S. Corde, J. Gautier, G. Lambert, B. Mahieu, V. Malka, K. Ta Phuoc, C. Thaury [LOA, Palaiseau, France] ","Study of the Electron Transport in the COXINEL FEL Beamline Using a Laser-Plasma Accelerated Electron Beam",348 351,
tup062,"F. Trillaud, G.A. Barraza Montiel [UNAM, Cuernavaca, Morelos, Mexico] M. Gehlot, G. Mishra [Devi Ahilya University, Indore, India] ","Electromagnetic and Mechanical Analysis of a 14 mm 10-period NbTi Superconducting Undulator",352 356,
tup065,"M. Hamberg, D.S. Dancila, M. Jacewicz, J. Oegren (J. Ögren) [Uppsala University, Uppsala, Sweden] M. Karlsson, A. Rydberg, E. Vargas Catalan [Uppsala University, Department of Engineering Sciences, Uppsala, Sweden] M. Kuittinen, I. Vartiainen [UEF, Joensuu, Finland] ","Dielectric Laser Acceleration Setup Design, Grating Manufacturing and Investigations Into Laser Induced RF Cavity Breakdowns",357 359,
tup066,"Y. Koshiba [Waseda University, Tokyo, Japan] T. Higashiguchi [Center for Optical Research and Education, Utsunomiya University, Utsunomiya, Japan] S. Ota, T. Takahashi, M. Washio [RISE, Tokyo, Japan] K. Sakaue [Waseda University, Waseda Institute for Advanced Study, Tokyo, Japan] J. Urakawa [KEK, Ibaraki, Japan] ","Luminosity Increase in Laser-Compton Scattering by Crab Crossing",360 362,
tup067,"K. Sakaue [Waseda University, Waseda Institute for Advanced Study, Tokyo, Japan] M. Brameld, Y. Tadenuma, M. Washio, R. Yanagisawa [Waseda University, Tokyo, Japan] R. Kuroda, Y. Taira [AIST, Tsukuba, Ibaraki, Japan] J. Urakawa [KEK, Ibaraki, Japan] ","Study on Cherenkov Laser Oscillator Using Tilted Electron Bunches",363 365,
tup069,"K. Shih [SBU, Stony Brook, New York, USA] Y.C. Jing, V. Litvinenko, I. Pinayev, G. Wang [BNL, Upton, Long Island, New York, USA] K. Mihara [Stony Brook University, Stony Brook, USA] I. Petrushina [SUNY SB, Stony Brook, New York, USA] ","Simulating Beam Dynamics in Coherent Electron-Cooling Accelerator with WARP",366 369,
tup070,"J. Okumura, T. Kii, H. Ohgaki, H. Zen [Kyoto University, Kyoto, Japan] ","Development of Mid-Infrared Photoacoustic Spectroscopy System for Solid Samples at Kyoto University Free Electron Laser Facility",370 373,
tup071,"S. Tagiri [Kyoto Univeristy, Kyoto, Japan] T. Kii, H. Ohgaki, H. Zen [Kyoto University, Kyoto, Japan] ","Study on Second Harmonic Generation in SiC Using Infrared FEL",374 377,
tup072,"Y.C. Jing, V. Litvinenko, I. Pinayev [BNL, Upton, Long Island, New York, USA] V. Litvinenko [Stony Brook University, Stony Brook, USA] ","Simulation of Phase Shifters Between FEL Amplifiers in Coherent Electron Cooling",378 380,
wea01,"B. Beutner [DESY, Hamburg, Germany] ","European XFEL Injector Commissioning Results",381 385,
wea02,"P.W. Huang, W.-H. Huang, C.-X. Tang [TUB, Beijing, People's Republic of China] ","Model of Photocathode for CW Electron Gun",386 388,
wea04,"S.V. Kuzikov, O.A. Ivanov, A.A. Vikharev, A.L. Vikharev [IAP/RAS, Nizhny Novgorod, Russia] S.P. Antipov [Euclid Beamlabs LLC, Bolingbrook, USA] S.P. Antipov [Euclid TechLabs, LLC, Solon, Ohio, USA] ","Novel Concepts of a High-Brightness Photoinjector RF Gun",389 392,
wea05,"F. Sannibale, J.M. Byrd, D. Filippetto, M.J. Johnson, D. Li, T.H. Luo, C.E. Mitchell, J.W. Staples, S.P. Virostek [LBNL, Berkeley, California, USA] ","Higher Fields and Beam Energies in Continuous-Wave Room-Temperature VHF RF Guns",393 395,
web03,"A.K. Krasnykh, A.L. Benwell, T.G. Beukers, D.F. Ratner [SLAC, Menlo Park, California, USA] ","R&D at SLAC on Nanosecond-Range Multi-MW Systems for Advanced FEL Facilities",396 398,
web04,"T. Lamb, L. Butkowski (Ł. Butkowski), E.P. Felber, M. Felber, M. Fenner, S. Jablonski (S. Jabłoński), T. Kozak, J.M. Mueller (J.M. Müller), P. Predki (P. Prędki), H. Schlarb, C. Sydlo, M. Titberidze, F. Zummack [DESY, Hamburg, Germany] ","Laser-to-RF Synchronization with Femtosecond Precision",399 402,
wec02,"J.A. Clarke, K.B. Marinov, B.J.A. Shepherd, N. Thompson [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] V. Bayliss, J. Boehm, T.W. Bradshaw, A.J. Brummitt, S.J. Canfer, M.J.D. Courthold, B. Green, T. Hayler, P. Jeffery, C. Lockett, D.S. Wilsher [STFC/RAL, Chilton, Didcot, Oxon, United Kingdom] S. Milward, E.C.M. Rial [DLS, Oxfordshire, United Kingdom] ","Optimization of Superconducting Undulators for Low Repetition Rate FELs",403 406,
wep003,"S. Schreiber, S. Lederer [DESY, Hamburg, Germany] P. Michelato, L. Monaco, D. Sertore [INFN/LASA, Segrate (MI), Italy] ","Update on the Lifetime of Cs2Te Photocathodes Operated at FLASH",407 410,
wep004,"P. Boonpornprasert, M. Krasilnikov, F. Stephan [DESY Zeuthen, Zeuthen, Germany] ","Calculations for a THz SASE FEL Based on the Measured Electron Beam Parameters at PITZ",411 413,
wep005,"Y. Chen, P. Boonpornprasert, J.D. Good, H. Huck, I.I. Isaev, M. Krasilnikov, A. Oppelt, H.J. Qian, Y. Renier, F. Stephan [DESY Zeuthen, Zeuthen, Germany] W. Ackermann, H. De Gersem [TEMF, TU Darmstadt, Darmstadt, Germany] M. Dohlus [DESY, Hamburg, Germany] Q.T. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Coaxial Coupler RF Kick in the PITZ RF Gun",414 417,
wep006,"J.D. Good, G. Asova, P. Boonpornprasert, Y. Chen, M. Gross (M. Groß), H. Huck, I.I. Isaev, D.K. Kalantaryan, M. Krasilnikov, X. Li, O. Lishilin, G. Loisch, D. Melkumyan, A. Oppelt, H.J. Qian, Y. Renier, T. Rublack, F. Stephan [DESY Zeuthen, Zeuthen, Germany] A.V. Andrianov, E. Gacheva, E. Khazanov, S. Mironov, A. Poteomkin, V. Zelenogorsky [IAP/RAS, Nizhny Novgorod, Russia] I. Hartl, S. Schreiber [DESY, Hamburg, Germany] E. Syresin [JINR, Dubna, Moscow Region, Russia] ","Preliminary On-Table and Photoelectron Results from the PITZ Quasi-Ellipsoidal Photocathode Laser System",418 420,
wep007,"M. Krasilnikov, P. Boonpornprasert, Y. Chen, J.D. Good, M. Gross (M. Groß), H. Huck, I.I. Isaev, D.K. Kalantaryan, X. Li, O. Lishilin, G. Loisch, D. Melkumyan, A. Oppelt, H.J. Qian, Y. Renier, F. Stephan, Q.T. Zhao [DESY Zeuthen, Zeuthen, Germany] G.A. Amatuni, B. Grigoryan [CANDLE SRI, Yerevan, Armenia] G. Asova [INRNE, Sofia, Bulgaria] Q.T. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Electron Beam Asymmetry Compensation with Gun Quadrupoles at PITZ",421 423,
wep008,"H.J. Qian, M. Krasilnikov, F. Stephan [DESY Zeuthen, Zeuthen, Germany] ","Beam Brightness Improvement by Ellipsoidal Laser Shaping for CW Photoinjectors",424 427,
wep009,"H.J. Qian, M. Krasilnikov, F. Stephan [DESY Zeuthen, Zeuthen, Germany] ","A Cryocooled Normal-Conducting and Superconducting Hybrid CW Photoinjector",428 431,
wep010,"Q.T. Zhao, G. Asova, P. Boonpornprasert, Y. Chen, J.D. Good, M. Gross (M. Groß), H. Huck, I.I. Isaev, D.K. Kalantaryan, M. Krasilnikov, X. Li, O. Lishilin, G. Loisch, D. Melkumyan, A. Oppelt, H.J. Qian, Y. Renier, T. Rublack, C. Saisa-ard, F. Stephan [DESY Zeuthen, Zeuthen, Germany] G. Asova [INRNE, Sofia, Bulgaria] C. Saisa-ard [Chiang Mai University, Chiang Mai, Thailand] Q.T. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Beam Asymmetry Studies with Quadrupole Field Errors in the PITZ Gun Section",432 435,
wep012,"S.V. Kuzikov, S.A. Bogdanov, E. Gacheva, E.V. Ilyakov, D.S. Makarov, S. Mironov, A. Poteomkin, A. Shkaev, A.A. Vikharev [IAP/RAS, Nizhny Novgorod, Russia] ","A 2.45 GHz Photoinjector Gun for an FEL Driven by Laser Wakefield Accelerated Beam",436 438,
wep014,"H. Zen, T. Kii, K. Masuda, T. Nakajima, H. Ohgaki [Kyoto University, Kyoto, Japan] ","Pulse Duration Measurement of Pico-second DUV Photocathode Driving Laser by Autocorrelation Technique Using Two-Photon Absorption in Bulk Material",439 441,
wep015,"H.L. Andrews, R.L. Fleming, J.W. Lewellen, K.E. Nichols, D.Y. Shchegolkov, E.I. Simakov [LANL, Los Alamos, New Mexico, USA] B.K. Choi [Vanderbilt University, Nashville, USA] ","Current Experimental Work with Diamond Field-Emitter Array Cathodes",442 445,
wep016,"C. Huang, H.L. Andrews, B.K. Choi, R.L. Fleming, T.J. Kwan, J.W. Lewellen, D.C. Nguyen, K.E. Nichols, V.N. Pavlenko, A. Piryatinski, D.Y. Shchegolkov, E.I. Simakov [LANL, Los Alamos, New Mexico, USA] ","Modeling of Diamond Field-Emitter Arrays for High-Brightness Photocathode Applications",446 449,
wep018,"M. Hamberg [Uppsala University, Uppsala, Sweden] F. Brinker, I. Hartl, S. Koehler, B. Manschwetus, M. Scholz, L. Winkelmann [DESY, Hamburg, Germany] ","Electron Beam Heating with the European XFEL Laser Heater",450 451,
wep019,"S.S. Park, H.-S. Kang, S.H. Kim, H.-S. Lee [PAL, Pohang, Kyungbuk, Republic of Korea] ","High Stable Pulse Modulator for PAL-XFEL*",452 454,
wep021,"K. Szymczyk, J.A. Lorkiewicz, R. Nietubyc (R. Nietubyć) [NCBJ, Swierk/Otwock, Poland] J.K. Sekutowicz [DESY, Hamburg, Germany] ","Preliminary Results of the Dark Current Modelling for the Polfel Superconducting Lead Photocathode",455 457,
wep024,"D.Y. Yang, B.T. Li, X.Y. Lu, W.W. Tan, L. Xiao, Y. Yang, Z.Q. Yang, J. Zhao [PKU, Beijing, People's Republic of China] K. Zhou [CAEP/IAE, Mianyang, Sichuan, People's Republic of China] ","Design and Research of a Micro-Pulse Electron Gun",458 461,
wep025,"K. Mihara [Stony Brook University, Stony Brook, USA] Y.C. Jing, V. Litvinenko, I. Pinayev, G. Wang [BNL, Upton, Long Island, New York, USA] I. Petrushina [SUNY SB, Stony Brook, New York, USA] ","Emittance Measurements from SRF Gun in CeC Accelerator",462 466,
wep026,"A.D. Brynes [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","Inducing Microbunching in the CLARA FEL Test Facility",467 470,
wep027,"H. Hama, K. Nanbu, H. Saito, Y. Saito [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] ","Numerical Study of Cherenkov Radiation From Thin Silica Aerogel",471 473,
wep029,"X.L. Su, Y. C. Du, W. Gai, W.-H. Huang, Y.F. Liang, C.-X. Tang, D. Wang, L.X. Yan [TUB, Beijing, People's Republic of China] ","Recent Experimental Results on High-Peak-Current Electron Bunch and Bunch Trains Interacting With a THz Undulator",474 476,
wep030,"K. Shafak [CFEL, Hamburg, Germany] A. Berg, F.X. Kaertner (F.X. Kärtner), A. Kalaydzhyan, J. Meier, D. Schimpf, T. Tilp [Deutsches Elektronen Synchrotron (DESY) and Center for Free Electron Science (CFEL), Hamburg, Germany] A. Berlin, E. Cano, H.P.H. Cheng, A. Dai, J. Derksen, D. Forouher, W. Nasimzada, M. Neuhaus, P. Schiepel, E. Seibel [Cycle GmbH, Hamburg, Germany] ","Large-Scale Turnkey Timing Distribution System for New Generation Photon Science Facilities",477 479,
wep031,"A.L. Edelen, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] P.J.M. van der Slot [Mesa+, Enschede, The Netherlands] ","Using A Neural Network Control Policy For Rapid Switching Between Beam Parameters in an FEL",480 483,
wep034,"A.H. Lumpkin, N. Eddy, D.R. Edstrom, P.S. Prieto, J. Ruan, Y.-M. Shin, R.M. Thurman-Keup [Fermilab, Batavia, Illinois, USA] B.E. Carlsten [LANL, Los Alamos, New Mexico, USA] ","Diagnostics Upgrades for Investigations of HOM Effects in TESLA-type SCRF Cavities",484 487,
wep036,"A. Scheinker [LANL, Los Alamos, New Mexico, USA] D.K. Bohler [SLAC, Menlo Park, California, USA] ","Adaptive Feedback for Automatic Phase-Space Tuning of Electron Beams in Advanced XFELs",488 490,
wep040,"P. Craievich, M. Bopp, H.-H. Braun, R. Ganter, M. Pedrozzi, E. Prat, S. Reiche, R. Zennaro [PSI, Villigen PSI, Switzerland] R.W. Assmann (R.W. Aßmann), F. Christie, R.T.P. D'Arcy, B. Marchetti, D. Marx [DESY, Hamburg, Germany] N. Catalan-Lasheras (N. Catalán Lasheras), A. Grudiev, G. McMonagle, W. Wuensch [CERN, Geneva, Switzerland] ","Sub-Femtosecond Time-Resolved Measurements Based on a Variable Polarization X-Band Transverse Deflecting Structures for SwissFEL",491 494,
wep041,"H. J. Choi, J.H. Han, H.-S. Kang, S.H. Kim, H.-G. Lee, S.B. Lee [PAL, Pohang, Kyungbuk, Republic of Korea] ","HLS to Measure Changes in Real Time in the Ground and Building Floor of PAL-XFEL, Large-Scale Scientific Equipment",495 498,
wep043,"M.W. Guetg, P. Emma [SLAC, Menlo Park, California, USA] ","Tune-Up Simulations for LCLS-II",499 502,
wep044,"H. Yang, D.C. Shin [PAL, Pohang, Kyungbuk, Republic of Korea] ","Beam Loss Monitor for Undulators in PAL-XFEL",503 506,
wep048,"J.P. MacArthur, Z. Huang, J. Krzywinski, A.A. Lutman [SLAC, Menlo Park, California, USA] ","Coherent Undulator Radiation From a Kicked Electron Beam",507 510,
wep051,"I. Pinayev, Y.C. Jing, R. Kellermann, V. Litvinenko, J. Skaritka, G. Wang [BNL, Upton, Long Island, New York, USA] I.V. Ilyin, Y. Kolokolnikov, P. Vobly [BINP SB RAS, Novosibirsk, Russia] ","Helical Undulators for Coherent Electron Cooling System",511 513,
wep054,"F. Wolff-Fabris, Y. Li, J. Pflueger (J. Pflüger) [XFEL.EU, Schenefeld, Germany] ","The Magnetic Field Integral Hysteresis on the European XFEL Gap Movable Undulator Systems",514 516,
wep055,"S.V. Kuzikov, A.V. Savilov, A.A. Vikharev [IAP/RAS, Nizhny Novgorod, Russia] S.P. Antipov, A. Liu [Euclid TechLabs, LLC, Solon, Ohio, USA] A.V. Savilov [UNN, Nizhny Novgorod, Russia] ","Tapered Flying Radiofrequency Undulator",517 520,
wep056,"G. Zhou, J.Q. Wang [IHEP, Beijing, People's Republic of China] J. Wu [SLAC, Menlo Park, California, USA] ","Effect of Beam Transverse Angle Deflection in TGU on FEL Power",521 523,
wep057,"S. Tripathi, R.K. Bhandari, S. Ghosh, D. Kanjilal [IUAC, New Delhi, India] U. Lehnert [HZDR, Dresden, Germany] M. Tischer [DESY, Hamburg, Germany] ","Design of a Compact Hybrid Undulator for the THz Radiation Facility of Delhi Light Source (DLS)",524 526,
wep060,"S. Li, R.N. Coffee, J. Cryan, K.H. Hegazy, Z. Huang, A. Marinelli, A. Natan, T. Osipov, D. Ray [SLAC, Menlo Park, California, USA] G. Guo [Stanford University, Stanford, California, USA] ","Characterizing Sub-Femtosecond X-ray Pulses from the Linac Coherent Light Source",527 530,
wep061,"J. Wu [SLAC, Menlo Park, California, USA] B. Yang [University of Texas at Arlington, Arlington, USA] ","Thermal Stress Analysis of a Thin Diamond Crystal Under Repeated Free Electron Laser Heat Load",531 534,
wep062,"H.M. Castaneda Cortes, D.J. Dunning, M.D. Roper, N. Thompson [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","Optical Beam Quality Analysis of the Clara Test Facility Using Second Moment Analysis",535 538,
wep063,"D. Wang, H.X. Deng, Z. Jiang [SINAP, Shanghai, People's Republic of China] ","A Two-in-One Type Undulator",539 541,
wep064,"A. Ghaith, F. Blache, M.-E. Couprie, C.A. Kitegi, F. Marteau, P. N'gotta, M. Valléau, J. Vétéran [SOLEIL, Gif-sur-Yvette, France] C. Benabderrahmane [ESRF, Grenoble, France] O. Cosson, F. Forest, P. Jivkov, J.L. Lancelot [Sigmaphi, Vannes, France] ","Tunable High-Gradient Quadrupoles for a Laser-Plasma Acceleration-Based FEL",542 545,
wep065,"A. Ghaith, T. Andre (T. André), I.A. Andriyash, P. Berteaud, F. Briquez, N. Béchu, M.-E. Couprie, C. Herbeaux, M. Labat, O. Marcouillé, F. Marteau, E. Roussel, M. Sebdaoui, K.T. Tavakoli, M. Tilmont, M. Valléau [SOLEIL, Gif-sur-Yvette, France] ","Cryogenic Permanent Magnet Undulator for an FEL Application",546 548,
wep073,"K. Hwang, J. Qiang [LBNL, Berkeley, California, USA] ","Lie Map Formalism for FEL Simulation",549 551,
wep074,"G. Penn [LBNL, Berkeley, California, USA] ","Simulations of the Dependence of Harmonic Radiation on Undulator Parameters",552 554,
wep078,"S.D. Webb [RadiaSoft LLC, Boulder, Colorado, USA] ","Period-Averaged Symplectic Maps for the FEL Hamiltonian",555 557,
