mobh1,"K.X. Liu, J.E. Chen, L.W. Feng, J.K. Hao, S. Huang, L. Lin, S.W. Quan, F. Wang, H.M. Xie, L. Yang, F. Zhu [PKU, Beijing, People's Republic of China] ","Experimental Study on the Electron Superconducting Linac and its Application",99 98,
moph30,"K. Zhou, T.H. He, C.L. Lao, M. Li, S.F. Lin, X. Luo, L.J. Shan, X. Shen, H. Wang, J. Wang, D. Wu, D.X. Xiao, X. Yang [CAEP/IAE, Mianyang, Sichuan, People's Republic of China] X.Y. Lu [PKU, Beijing, People's Republic of China] ","Commissioning of the 2x4-cell Superconducting Accelerator for the CAEP THz-FEL Facility",96 98,
moph31,"H. Jia [IMP/CAS, Lanzhou, People's Republic of China] M.A. Plum [ORNL, Oak Ridge, Tennessee, USA] ","Fringe Field Overlap Model for Quadrupoles",99 102,
moph32,"W.L. Chen, W.P. Dou, Y. He, S.H. Liu, Y.S. Qin, C. Wang, W.S. Wang, Z.J. Wang [IMP/CAS, Lanzhou, People's Republic of China] ","Beam Parameter Reconstruction at the Input of LEBT of C-ADS Injector II",103 105,
moph33,"Y.S. Qin, W.L. Chen, P.H. Gao, Y. He, H. Jia, Y.Z. Jia, S.H. Liu, C. Wang, Z.J. Wang [IMP/CAS, Lanzhou, People's Republic of China] ","Beam Optics Verification for A QWR",106 108,
moph34,"S.H. Liu, Y. He, Z.J. Wang [IMP/CAS, Lanzhou, People's Republic of China] ","Beam Dynamics Design of CiADS Superconducting Section",109 111,
moph35,"W.S. Wang, W.L. Chen, W.P. Dou, Y. He, P. Jiang, S.H. Liu, Y.S. Qin, Z.J. Wang [IMP/CAS, Lanzhou, People's Republic of China] ","Orbit Correction Study based on Simulation for Injector II",112 114,
moph36,"W.P. Dou, Y. He, C.X. Li, S.H. Liu, F.F. Wang, Z.J. Wang, X.B. Xu, Z.L. Zhang [IMP/CAS, Lanzhou, People's Republic of China] ","The Prgress of the China Material Irradiation Facility RFQ",115 118,
moph37,"C. Feng, Y. He, W.S. Wang, Z.J. Wang [IMP/CAS, Lanzhou, People's Republic of China] ","Calibration of the BPM Offsets in Cryomodule at CiADS Injector II",119 120,
tuah4,"B.C. Jiang, J.H. Chen, Q.L. Zhang, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] ","Using a Bessel Light Beam as an Ultra-short Period Helical Undulator",121 123,
tubh2,"S.Q. Liao [TUB, Beijing, People's Republic of China] ","PIC Simulation of the High Current Beam for the LIA",124 126,
