FRJI06,"Yu.I. Golubenko, N.K. Kuksanov, P.I. Nemytov, R.A. Salimov, S.N. Fadeev, M.E. Veis, V.V. Prudnikov","DC HIGH POWER ELV ACCELERATORS FOR INDUSTRIAL AND RESEARCH APPLICATION",
THBP26,"N. I. Tarantin","NEW METHOD OF ELECTROSTATIC ACCELERATING AND STRONG QUADRUPOLE FOCUSING OF CHARGED PARTICLES ON HIGH VOLTAGE ACCELERATORS OF DIRECT ACTION AND ITS POSSIBLE APPLICATIONS",
THBP27,"Z. Parsa, V. Zadorozhny","ACCELERATION AND FOCUSING AS OPTIMAL CONTROL FOR DYNAMIC SYSTEMS",
THBP28,"S. Andrianov, A. Abramova","ANALYTICAL AND NUMERICAL METHODS IN BEAM PHYSICS",
THBP29,"V.V. Lapin, D.V. Korobov, V.A.Yaichkov, O.V.Zyat’kov","THE FIRST STAGE MODIFICATION OF THE SERVO-SPILL FEEDBACK SYSTEM FOR THE SLOW RESONANT BEAM EXTRAXTION FROM THE IHEP 70 GEV PROTON SYNCHROTRON",
THBP30,"T. Uesugi, K. Noda, I. Meshkov, E. Syresin, S. Shibuya","BEAM DYNAMICS WITH ELECTRON COOLING",
THCP01,"A. Gurevich, N. Ignashin, S. Ivanov, O. Lebedev, A. Simonov, S. Sytov"," UPGRADING LONGITUDINAL BEAM BEHAVIOR IN IHEP BOOSTER",
THCP02,"M.M. Karliner, E.V. Kozyrev, I.G. Makarov, O.A. Nezhevenko, G.N. Ostreiko, B.Z. Persov, G.V. Serdobintsev","HIGH-CURRENT STANDING WAVE LINAC WITH GYROCON POWER SOURCE",
THCP04,"N.K. Abrossimov, V.G. Vovchenko, V.A. Eliseev, E.M. Ivanov, Yu.T. Mironov, G.A. Riabov, M.G. Tverskoy","DESIGN AND EXPERIMENTAL INVESTIGATION OF THE 200-900 MEV PROTON BEAM OBTAINED BY THE MODERATION OF 1000 MEV PROTONS IN THE DEGRADER",
THCP05,"A.I.Butakov, B.I. Grishanov, F.V. Podgorny","INJECTION SYSTEM TO DAMPING RING OF AN ELECTRON-POSITRON INJECTION COMPLEX VEPP5",
THCP06,"B.I.Grishanov, F.V. Podgorny","DESIGN OF LOAD – KLYSTRON EQUIVALENT FOR JLC",
THCP09,"Yu. Ts. Oganessian, G.G. Gulbekyan, B.N. Gikal, S.L. Bogomolov, V.V. Bekhterev, I.V. Kalagin, N.Yu. Kazarinov, M.V. Khabarov","MODERNIZATION OF THE U-400 AXIAL INJECTION SYSTEM",
THCP11,"M. Petrichenkov, N. Alinovsky, V. Klyuev, E. Konstantinov, S. Konstantinov, A. Kozhemyakin, A. Kryuchkov, V. Parkhomchuk, A. Popov, S. Rastigeev, V. Reva, B. Sukhina","ACCELERATOR MASS-SPECTROMETER FOR SIBERIAN DIVISION OF RAS ",
THCP12,"V.M.Barbashin, V.A.Kvardakov, E.V.Kremyanskaya, V.A.Kiselev, E.B.Levichev, S.I.Mishnev,","A PROJECT OF THE 2.5 GEV BOOSTER-SYNCHROTRON IN BINP",
THCP13,"V. Bezkrovney, S. Vasin, A. Gurevich, G. Losev, Yu. Milichenko, E. Nelipovich, V. Ponomarenko, G. Samatov, V. Stolpovsky, E. Troyanov","OPERATIONAL EXPERIENCE AND FURTHER DEVELOPMENT OF THE IHEP BOOSTER",
THFI01,"Zolotarev K.V., A.M. Batrakov, S.V. Khruschev, G.N. Kulipanov, V.H. Lev, N.A. Mezentsev, E.G. Miginsky, V.A. Shkaruba, V.M. Syrovatin, V.M. Tsukanov, V.K. Zjurba, D. Kraemer","HIGH MAGNETIC FIELD SUPERCONDUCTING MAGNETS FABRICATED IN BUDKER INP FOR SR GENERATION ",
THFO03,"L. Sevryukova, N. Ivanov","STATUS OF THE WORK ON THE BASE DIRECTIONS OF THE «RF SUPERCONDUCTIVITY FOR ACCELERATORS» PROGRAM AT THE FEDERATE PROBLEM LAB AT IHEP",
THFO04,"A. Ageyev, A. Bakay, E. Kashtanov, S. Kozub, M. Muraviev, A. Orlov, P. Pimenov, K. Polkovnikov, P. Slabodchikov, V. Sytnik, S. Zintchenko"," STATUS OF SUPERCONDUCTING RADIOFREQUENCY SEPARATOR CRYOGENIC SYSTEM",
THFP01,"I. Bogdanov, S. Kozub, P. Shcherbakov, L. Tkachenko, S. Zintchenko, V. Zubko, J. Kaugerts, G. Moritz","QUENCH PROCESS IN FAST-CYCLING SUPERCONDUCTING DIPOLE FOR SIS300 ",
THFP03,"P. Shcherbakov, I. Bogdanov, S. Kozub, L. Tkachenko, E. Fischer, F. Klos, G. Moritz, C. Muehle"," MAGNETIC PROPERTIES OF SILICON ELECTRICAL STEELS AND ITS APPLICATION IN FAST CYCLING SUPERCONDUCTING MAGNETS AT LOW TEMPERATURES",
THFP04,"P. Shcherbakov, A. Ageev, I. Bogdanov, S. Kozub, P. Slabodchikov, V. Sytnik, L. Tkachenko, V. Zubko, J. Kaugerts, G. Moritz, V. Keilin","COMPARATIVE ANALYSIS OF WIDE APERTURE DIPOLE DESIGNS FOR THE SIS300 RING",
THFP05,"P. Shcherbakov, I. Bogdanov, S. Kozub, P. Slabodchikov, L. Tkachenko, V. Zubko, G. Moritz, V. Sytnikov","MINIMIZATION OF CABLE LOSSES IN FAST-CYCLING DIPOLE FOR THE SIS300 RING ",
THFP06,"N.P. Sobenin, A.A. Krasnov, B.Yu. Bogdanovich, D.A. Zavadtsev, M.V. Lalayan, V.I. Kaminsky,  S.A. Belomestnykh, V.G. Veshcherevich,  A.A. Zavadtsev","THERMAL CALCULATIONS OF INPUT COUPLER FOR ERL INJECTOR",
THFP07,"V. Zubko, I. Bogdanov, S. Kozub, P. Shcherbakov, L. Tkachenko, S. Zintchenko, G. Moritz","ENTHALPY MARGIN AND STABILITY OF FAST-CYCLING DIPOLE FOR",
THFP09,"V. Alferov, A. Bakay, V. Fedorchenko, N. Ivanova, A. Kholkin, S. Klimov, V. Krendelev, S. Kuznetsov, A. Lukyantsev, A. Lutchev, V. Milutkin, A. Sytin, D. Vasiliev"," A CRYO COMPLEX CONTROL",
THFP10,"A. Ageyev, A. Bakay, E. Kashtanov, S. Kozub, M. Muraviev, A. Orlov, P. Pimenov, K. Polkovnikov, P. Slabodchikov, V. Sytnik, S. Zintchenko"," STATUS OF SUPERCONDUCTING RADIOFREQUENCY SEPARATOR CRYOGENIC SYSTEM",
THJI03,"V. L. Auslender, A. A. Bryazgin, V.G. Cheskidov, I.V. Gornakov, B.L. Faktorovich, E.N. Kokin, M.V. Korobeynikov, G.I. Kuznetsov, A.N. Lukin, I.G. Makarov, S. A. Maximov, V. E. Nekhaev, G.N. Ostreiko, A. D. Panfilov, V.M. Radchenko, N.D. Romashko, A.V. Sidorov, M.A. Tiunov, V. O. Tkachenko, A.F. Tuvik, L.A. Voronin","ELECTRON ACCELERATOR FOR ENERGY UP TO 5.0 MEV AND BEAM POWER UP TO 50 KW ",
THJO04,"M.F. Vorogushin, Yu.N. Gavrish, M.I. Demsky, A.P. Klinov, O.L. Maslennikov, S.F. Naumov, V.M. Nikolaev, A.M. Fialkovsky, L.P. Fomin, Yu.P. Shchepin","LINEAR ELECTRON ACCELERATORS FOR RADIATION PROCESSING. CURRENT STATUS",
THJO05,"M.Kats, B.Druzhinin","SIMPLE PLANAR SYSTEM",
THLO03,"P.I. Nemytov, Yu.I. Golubenko, N.K. Kuksanov, R.A. Salimov, S.N. Fadeev, M.E. Veis","HIGH POWER TRANSISTORS FREQUENCY CONVERTER FOR SUPPLY UP TO 500 KW DC ELECTRON ACCELERATORS",
THLP05,"O.S. Kozlov, S.I. Kozlov, A.A. Smirnov","APPLICATION OF THE SUPERCONDUCTING TRANSMISSION LINE",
THLP06,"A.V.Agafonov, E.G.Krastelev, V.P.Pevchev"," PULSED POWER GENERATORS FOR TWO-SECTION LIA – RELATIVISTIC MAGNETRON DRIVER",
THLP09,"F. Novoskoltsev, A. Ostankov, A. Kurilin"," KL BEAM LINE AT INSTITUTE FOR HIGH ENERGY PHYSICS (U-70 ACCELERATOR, PROTVINO), CALCULATED PARAMETERS",
THLP10,"V. Petrov, O. Kiselev, I. Protopopov, Yu. Pupkov, E. Ruvinsky, A. Sukhanov, S. Bidon, D. Gerard, O. Hans, W. Kalbreier, S. Ramberger, G. De Rijk ","NORMAL CONDUCTING SEPARATION DIPOLES FOR THE LHC BEAM CLEANING INSERTIONS",
THLP11,"J.Becher, M.Koryovkina, O.Strekalovsky","BRUKER POWER SUPPLY BLOCKS CONTROL VIA THE CANBUS",
THLP12,"A.V. Tikhomirov, G.G. Gulbekian, B.N. Gikal, R.Ts. Oganessian","NUMERICAL SIMULATION OF THE BEAM TRANSMISSION EFFICIENCY FOR DESIGN OF VACUUM SYSTEM OF THE DC-72 CYCLOTRON",
THLP14,"O.E. Shishanin","SYNCHROTRON RADIATION PROPERTIES DEPENDING ON VARIOUS POINTS OF BENDING MAGNET",
TUAI01,"J. Dietrich, U. Bechstedt, R. Eichhorn, R. Gebel, K. Henn, V. Kamerdzhiev, A. Lehrach, B. Lorentz, R. Maier, D. Prasuhn, H. Schneider, R. Stassen, H. Stockhorst, R. Tolle","STATUS OF THE COOLER SYNCHROTRON COSY-JUELICH AND FUTURE PLANS",
TUAI02,"E. Behtenev, V. Bocharov, V. Bubley, M. Vedenev, R. Voskoboinikov, A. Goncharov,","COMMISSION OF ELECTRON COOLER EC-300 FOR HIRFL-CSR",
