fra3o01,"M. Marquarding [CASS, Epping, Australia] ","Past, Present and Future of the ASKAP Monitoring and Control System",1162 1164,
wepgf056,"N. Leclercq, J. Bisou, F. Blache, F. Langlois, S. Le (S. Lê), K. Medjoubi, C. Mocuta, S. Poirier [SOLEIL, Gif-sur-Yvette, France] ","Flyscan: a Fast and Multi-technique Data Acquisition Platform for the SOLEIL Beamlines",826 829,
wepgf059,"G.R. Meyer, S. Androulakis, P.J. Bertling, A.M. Buckle, W.J. Goscinski, D. Groenewegen, C. Hines, A. Kannan, S. McGowan, S.M. Quenette, J. Rigby, P. Splawa-Neyman, J.M. Wettenhall [Monash University, Clayton, Australia] D. Aragao, T. Caradoc-Davies, N. Mudie [SLSA, Clayton, Australia] C.S. Bond [University of Western Australia, Crawley, Australia] ","The Australian Store. Synchrotron Data Management Service for Macromolecular Crystallography",830 833,
wepgf060,"K. Moriyama, T. Nakatani [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] ","A Data Management Infrastructure for Neutron Scattering Experiments in J-PARC/MLF",834 837,
wepgf061,"D.J. Nicklaus, L.R. Carmichael, R. Neswold, Z.Y. Yuan [Fermilab, Batavia, Illinois, USA] ","Beam Trail Tracking at Fermilab",838 840,
wepgf062,"M. Ojeda Sandonís, P. Baudrenghien, A.C. Butterworth, J. Galindo, W. Höfle, T.E. Levens, J.C. Molendijk, D. Valuch [CERN, Geneva, Switzerland] F. Vaga [University of Pavia, Pavia, Italy] ","Processing High-Bandwidth Bunch-by-Bunch Observation Data from the RF and Transverse Damper Systems of the LHC",841 844,
wepgf063,"N.P. Rees [DLS, Oxfordshire, United Kingdom] H.R. Billich [PSI, Villigen PSI, Switzerland] A. Gotz (A. Götz) [ESRF, Grenoble, France] Q. Koziol, E. Pourmal [The HDF Group, Champaign, Illinois, USA] M. Rissi [DECTRIS Ltd., Baden, Switzerland] E. Wintersberger [DESY, Hamburg, Germany] ","Developing HDF5 for the Synchrotron Community",845 848,
wepgf065,"M.J. Slabber, M.T. Ockards [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] ","Illustrate the Flow of Monitoring Data through the MeerKAT Telescope Control Software",849 852,
wepgf066,"G. Valentino, X. Buffat, D. Kirchner, S. Redaelli [CERN, Geneva, Switzerland] ","A Systematic Measurement Analyzer for LHC Operational Data",853 856,
wepgf068,"A. Voitier, M. Gonzalez-Berges, F.M. Tilaro [CERN, Geneva, Switzerland] M. Roshchin [Siemens AG, Corporate Technology, München, Germany] ","Formalizing Expert Knowledge in Order to Analyse CERN's Control Systems",857 860,
wepgf069,"A. Voitier, P. Golonka, M. Gonzalez-Berges [CERN, Geneva, Switzerland] ","Integrating Web-Based User Interface Within Cern's Industrial Control System Infrastructure",861 864,
