mopo010,"M.A. Nozdrin, N. Balalykin, J. Huran, V.F. Minashkin, G. Shirkov [JINR, Dubna, Moscow Region, Russia] E. Gacheva, A. Poteomkin, V. Zelenogorsky [IAP/RAS, Nizhny Novgorod, Russia] J. Huran [Slovak Academy of Sciences, Institute of Electrical Engineering, Bratislava, Slovak Republic] ","JINR Photocathode Research: Status and Plans",62 64,
mopo016,"D. Wang [TUB, Beijing, People's Republic of China] ","Narrow-Band Terahertz Generation from Beam Pipe with Helix Wires",65 67,
mopo018,"S. Weih, M. Arnold, J. Enders, N. Pietralla [TU Darmstadt, Darmstadt, Germany] D.B. Bazyl, H. De Gersem, W.F.O. Müller [TEMF, TU Darmstadt, Darmstadt, Germany] ","Development of an Improved Capture Section for the S-DALINAC Injector*",68 70,
mopo019,"L. Zhao, E. Daly, G.K. Davis, G.V. Eremeev, A.V. Reilly, A-M. Valente-Feliciano, K.M. Wilson [JLab, Newport News, Virginia, USA] ","Study on Cleaning of Copper Plated Bellows for LCLS-II",71 73,
mopo020,"L. Garolfi, M. Bergamaschi, R. Corsini, A. Curcio, S. Doebert (S. Döbert), W. Farabolini, D. Gamba, I. Gorgisyan [CERN, Geneva, Switzerland] C. Bruni, P. Lepercq, H. Purwar, C. Vallerand [LAL, Orsay, France] W. Farabolini [CEA/DSM/IRFU, France] ","Beam Dynamics Studies and Instrumentation Tests for Bunch Length Measurements at CLEAR",74 77,
mopo024,"T. Sakai, K. Hayakawa, Y. Hayakawa, K. Nogami, Y. Sumitomo, Y. Takahashi, T. Tanaka [LEBRA, Funabashi, Japan] H. Ogawa, N. Sei [AIST, Tsukuba, Ibaraki, Japan] ","Development of High Power Coherent Terahertz Wave Sources at Lebra 125 MeV Linac in Nihon University",78 80,
mopo026,"M. Mohseni Kejani, F. Abbasi Davani [Shahid Beheshti University, Tehran, Iran] S. Ahmadiannamin [ILSF, Tehran, Iran] F. Ghasemi [NSTRI, Tehran, Iran] S. Zarei [Nuclear Science and Technology Research, InstituteRadiation Application School, Tehran, Iran] ","The Resonance Frequency Shift After Applying the Cooling System for a Side Coupled Standing Wave Linac",81 83,
mopo027,"M. Kotur, J. Andersson, J. Björklund Svensson, M. Brandin, F. Curbis, L. Isaksson, F. Lindau, R. Lindvall, E. Mansten, R. Svärd, S. Thorin, S. Werin [MAX IV Laboratory, Lund University, Lund, Sweden] ","Photocathode Laser Pulse Shaping for Improved Emittance",84 86,
mopo028,"O. Bezditko, I.I. Karnaukhov, A.Y. Zelinsky [NSC/KIPT, Kharkov, Ukraine] ","Survey and Alignment System of 100 MeV/100 kW Electron Linear Accelerator",87 89,
mopo029,"T. Chen, W. Li, Y.J. Pei, Zh. X. Tang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Physics design and dynamic simulation of a C-band photocathode electron gun for UEM",90 93,
