MOP10005,"C. Mallik, G. Pal, P.Y. Nabhiraj, S. Bhattacharya, G.S. Taki, S. Som, D.L. Bandyopadhyaya, S. Saha, K. Kundu, A.S. Banerjee, C.V.S. Rao, B. Mukhopadhyaya, D.P. Hazra, K.G. Biswas, S.K. Mitra, M. Dutta, P.S. Chakraborty, A. Polley, R.C. Yadav, S. Chattopadhyaya, B. Soor, S. Pattanayak, J.S. Prasad, S. Dasgupta, M. Das, S. Pal, S.K. Das, T.K. Dey, R. Dey, N.K. Mukhopadhyaya, R.K. Bhandari, B. Sinha (VECC)","Heavy Ion Acceleration Using 224 CM Cyclotron at Kolkata",
MOP10006,"J.S. Chai, D.H. An, H.S. Chang, B.H. Hong, S.S. Hong, I.S. Jung, J. Kang, J.H. Kim, Y.S. Kim, M.Y. Lee, J.Y. Suk, H.H. Shim, C.S. Park, T.K. Yang (KIRAMS)","Operation Experiences of MC50 Cyclotron, KIRAMS",
MOP10007,"H.S. Chang, D.H. An, J.S. Chai, B.H. Hong, S.S. Hong, M.G. Hur, W.T. Hwang, I.S. Jung, J. Kang, Y.S. Kim, J.H. Kim, S.W. Kim, M.Y. Lee, K.E. Lim, C.S. Park, H.H. Shim, W.Y. So, J.Y. Suk, T.K. Yang, Y.K. Yun (KIRAMS)","Negative Hydrogen Acceleration in the Cyclone-30 at KIRAMS",
MOP10008,"D. Kanjilal, C.P. Safvan, G.O. Rodrigues, P. Kumar, U.K. Rao, A. Mandal, A. Roy (NSC)","High Current Injector at Nuclear Science Centre",
MOP10009,"H. Matsumoto, S. Takeda, S.S. Win, M. Yoshida (KEK), H. Baba, T. Shintake (RIKEN), J.S. Oh (PAL/POSTECH) Y. Takasu (Univ. of Tokyo), F. Furuta (Univ. of Nagoya),","The C-Band (5712-MHz) RF System for e+e- Linear Collider",
MOP10012,"Y.T. Oganessian, G.G. Gulbekyan, B.N. Gikal, I.V. Kalagin, S.L. Bogomolov, I.V. Kolesov, G.N. Ivanov, V.V. Bekhterev,  M.V. Khabarov, O.N. Borisov, I.A. Ivanenko,  J. Franko, S. Kralek (JINR)","Modernization of the U400 Cyclotron at the FLNR JINR",
MOP10013,"E. Takada (NIRS), T. Kondo, N. Shinozaki, N. Sasaki, T. Takei, Y. Sano (AEC)","Status of HIMAC",
MOP15001,"E.S. Kim (PAL)","Design of a New Lattices for Pohang Light Source",
MOP15004,"T. Agoh, K. Yokoya (KEK)","Mesh Analysis of Coherent Synchrotron Radiaiton in a Vacuum Chamber",
MOP15005,"Q. Qin, Z.Y. Guo, H. Huang, Y.D. Liu, J.Q. Wang, J. Xing, Z. Zhao (IHEP), H. Fukuma (KEK)","Recent Experimental Study on ECI at the BEPC",
MOP15006,"V. Kvardakov, T. Levichev, A. Naumenkov, P. Piminov (BINP)","Experimental Study of Sextupole Coupling Resonances at VEPP-4M",
MOP15007,"Y.D. Liu, Z.Y. Guo, Q. Qin, J.Q. Wang, J. Xing (IHEP)","Simulation of the Electron Cloud Instability for BEPCII",
MOP15008,"A. Bubley, V. Reva, V. Parkhomchuk (BINP)","New Generation of the Electron Cooling Systems",
MOP15009,"K. Fukami, T. Aoki, N. Hosoda, T. Nakatani, T. Ohshima, S. Takano, H. Tanaka, A. Yamashita, H. Yonehara (SPring-8)","Beam Collimation System for the SPring-8 Top-up Operation",
MOP15010,"X.M. Wen, X.H. Wang (IHEP)","Commissioning Study of the Parasitic Mode with 3W1 Wiggler Magnet on the BEPC",
MOP15013,"D.H. An, J.S. Chai, H.S. Chang, B.H. Hong, S.S. Hong, I.S. Jung, J. Kang, Y.S. Kim, M.Y. Lee, C.S. Park, J.Y. Suk, T.K. Yang (KIRAMS)","Design of the Central Region in the KIRAMS-13 Cyclotron",
MOP15014,"D.H. An, J.S. Chai, H.S. Chang, B.H. Hong, S.S. Hong, I.S. Jung, J. Kang, Y.S. Kim, M.Y. Lee, C.S. Park, J.Y. Suk, T.K. Yang (KIRAMS)","The Stripping Extraction System in the KIRAMS-13 Cyclotron",
MOP15015,"T. Kikuchi, T. Katayama (Univ. of Tokyo/RIKEN), S.M. Lund (LLNL/LBNL)","Possible Parameters for Bunch Compression in a Ring in Future RIKEN Projects",
MOP15016,"K. Ohmi, M. Tawada, K. Oide, S. Kamada (KEK)","Study of the Diffusion Processes Caused by the Beam-Beam Interactions",
MOP15018,"T.Y. Lee (PAL)","Estimation of Beam Polarization from the Measured Beam Lifetime in an Electron Storage Ring",
MOP15019,"S.C. Kim, E.S. Kim, H.S. Kang, D.T. Kim, S.S. Park, S.H. Kim, Y.J. Han, S.H. Nam (PAL)","A Beam Position Monitor System for Beam Transport Line (BTL) at the PLS",
MOP15020,"R. Hajima (JAERI)","R-Matrix Analysis of the CSR Effect in a Future ERL Light Source",
MOP15021,"J.H. Jang, Y.S. Cho, H.J. Kwon (KAERI)","Beam Dynamics Study of the Low Energy Proton Accelerators for PEFP",
MOP15022,"A. Mochihashi, M. Katoh, M. Hosaka, K. Hayashi, J. Yamazaki (Institute for Molecular Science)","Ion-Related Phenomenon in UVSOR Electron Storage Ring",
MOP15023,"T. Kikuchi, T. Katayama (Univ. of Tokyo/RIKEN), M. Nakajima, K. Horioka (Tokyo Tech.)","Emittance Growth and Particle Distributions During Final Beam Bunching in Heavy Ion Fusion Driver",
MOP15024,"E. M&eacute;tral (CERN)","Stability of the Longitudinal Bunched-Beam Coherent Dipole Mode",
MOP15025,"S.V. Miginsky (BINP)","An Optimizer for High-Current Beamlines",
MOP15027,"A.A. Ilyin, A.S. Lovtsov (Keldysh Research Centre)","Relaxation of a Concentrated Electron Beam in a Dence Gas Media",
MOP15030,"A.A. Fakhri, A.D. Ghodke, G. Singh (CAT)","Injection into Indus-2",
MOP20003,"T. Saeki, T. Shintake (RIKEN), S. Matsui (JASRI), N. Hoshijima, M. Yoshioka (Kinden Corporation), K. Miura, K. Nakaushiro (Daito Corporation)","Developement of a New Support-Stand with High Thermal-Stability for the SCSS Project",
MOP20004,"N. Sei, K. Yamada, H. Ogawa, M. Yasumoto, T. Mikado (NAIST)","Proposal of New Q-Switching Technique for Storage Ring Free Electron Lasers",
MOP20005,"N. Hafz, C. Kim, G.H. Kim, H. Suk (KERI), J. Lee (K-JIST)","Thomson Scattering of Intense Femtosecond Laser from Relativistic Plasma-Accelerated Electron Bunches",
